[2023-06-01 13:06:55] local.INFO: ...............start.................
[2023-06-01 13:06:58] local.INFO: $i {"$i":0,"Count($clients)":1}
[2023-06-01 13:06:58] local.INFO: . {"$clientID":"credi.credi","$providerId":"credi"}
[2023-06-01 13:07:00] local.INFO: . {"clientID":"credi.credi"}
[2023-06-01 13:07:00] local.INFO: $i {"$i":1,"Count($clients)":1}
[2023-06-01 13:07:00] local.INFO: . {"$clientID":"gesis.csda","$providerId":"csda"}
[2023-06-01 13:07:02] local.INFO: . {"clientID":"gesis.csda"}
[2023-06-01 13:07:02] local.INFO: $i {"$i":2,"Count($clients)":33}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.deas","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.indepth","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.ifo","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ubma","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.bibb-fdz","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.db-bank","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.zew","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.wzb","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.rwi","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.share","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.zoebis","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.hsrc","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.wvsa","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.ios","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.iqb","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ihi","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.afm","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.die-gdi","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.iwh","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ahri","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ffzg","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ies","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.bzga","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.dji","$providerId":"jjuz"}
